featureIndex,featureKey,featureLabel,mean,std
34,data_sharing,Data Sharing,0.13074336158108005,0.22499933193714738
35,data_strategy,Data Strategy,0.11002008803900765,0.21028991975447198
36,design_thinking_practice,Design Thinking Practice,0.7164665484624757,0.14398818908616942
37,data_visualization_and_storytelling,Data Visualization and Storytelling,0.31035173881277933,0.28016651385624847
38,enterprise_architecture,Enterprise Architecture,0.22702525992090522,0.2964030531343979
39,emerging_technology_synthesis,Emerging Technology Synthesis,0.4726635941805519,0.3103181636534278
40,infrastructure_strategy,Infrastructure Strategy,0.16664063050942174,0.26323320310448994
41,it_governance,IT Governance,0.13289003502423402,0.24079185709000386
42,intelligent_reasoning,Intelligent Reasoning,0.32484075618184016,0.3502945983261639
43,it_standards,IT Standards,0.18544886017175594,0.2790158853900067
44,it_strategy,IT Strategy,0.16733441137181182,0.2621502959388376
45,learning_and_development,Learning and Development,0.4981810169088999,0.3577560536780443
46,manpower_planning,Manpower Planning,0.3571399642769096,0.32033686920329185
47,networking,Networking,0.175988262163668,0.27162794258904427
48,organisational_analysis,Organisational Analysis,0.3139864800608228,0.33321222058924493
49,organisational_design,Organisational Design,0.22706155282938464,0.296466365163116
50,project_feasibility_assessment,Project Feasibility Assessment,0.09252571459299112,0.18267212443653588
51,portfolio_management,Portfolio Management,0.16465578004916961,0.258060340532046
52,process_improvement_and_optimisation,Process Improvement and Optimisation,0.09576721993714375,0.1864100738146091
53,partnership_management,Partnership Management,0.20350836666378974,0.28492715986632094
54,project_management,Project Management,0.5744044340621871,0.2711887982657821
55,people_and_performance_management,People and Performance Management,0.43658978838289025,0.31616859318259793
56,problem_management,Problem Management,0.4378938983913605,0.31624263034642475
57,product_management,Product Management,0.11261900442245094,0.1953594474950682
58,performance_management,Performance Management,0.19313045569583648,0.2863410204554445
59,pattern_recognition_systems,Pattern Recognition Systems,0.3243827694767137,0.3497464378095562
60,quality_standards,Quality Standards,0.1677190652348597,0.2623872419783839
61,research,Research,0.32270762699875244,0.30717813658238813
62,security_architecture,Security Architecture,0.2590111981138494,0.2960900114411547
63,self_learning_systems,Self-Learning Systems,0.29651540080967836,0.3231677410363641
64,software_configuration,Software Configuration,0.2577212266261278,0.26611427123451437
65,software_design,Software Design,0.29230892549114107,0.3378322995509954
66,software_testing,Software Testing,0.40860125040926293,0.2739815025309346
67,solution_architecture,Solution Architecture,0.3261719222369894,0.3301004097437646
68,stakeholder_management,Stakeholder Management,0.6268605995911564,0.19957011484845188
69,strategy_implementation,Strategy Implementation,0.12384447108543037,0.20501960257424354
70,strategy_planning,Strategy Planning,0.46956212805359776,0.32994479806663185
71,sustainability_management,Sustainability Management,0.1675372302028255,0.26291771244806394
72,system_integration,System Integration,0.3654673257791092,0.33410915983648976
73,system_design,System Design,0.03364961992759204,0.045345409055445735
74,systems_thinking,Systems Thinking,0.5657197397395233,0.2658646488129003
75,technical_sales_support,Technical Sales Support,0.06433814937531657,0.14158104283561024
76,testing_planning,Testing Planning,0.03366114483687081,0.04508083939451102
77,text_analytics_and_processing,Text Analytics and Processing,0.3186536233754318,0.3435872266528928
78,adaptability,Adaptability,0.4088033321721922,0.22668028848065822
79,building_inclusivity,Building Inclusivity,0.3736333501822845,0.19332735243513102
80,collaboration,Collaboration,0.5506450378713661,0.16704437436656738
81,communication,Communication,0.5507577496882788,0.16795794867541888
82,creative_thinking,Creative Thinking,0.4397496352074145,0.19597571456300814
83,customer_orientation,Customer Orientation,0.08563147118251672,0.1377929011751553
84,decision_making,Decision Making,0.5212046749384863,0.2013973720751374
85,digital_fluency,Digital Fluency,0.5516987554720466,0.16652457017393227
86,developing_people,Developing People,0.44448249380750265,0.2528598547288602
87,global_perspective,Global Perspective,0.3098047855415718,0.2548354168127957
88,influence,Influence,0.4075463642445986,0.22803985096222362
89,learning_agility,Learning Agility,0.43395186786338047,0.13120682644962373
90,problem_solving,Problem Solving,0.40847053045553333,0.22767900954794426
91,sense_making,Sense Making,0.09726382753568663,0.15418040080958076
92,self_management,Self Management,0.33127847692319695,0.1921119683225441
93,transdiciplinary_thinking,Transdiciplinary Thinking,0.034007307336974574,0.045469257557471436
